Features,Description
rev_Mean,Average monthly revenue (fee amount)
mou_Mean,Average number of minutes of use per month
totmrc_Mean,Average total monthly recurring fee
da_Mean,Average number of contacts assisted searches
ovrmou_Mean,Average overtime minutes
ovrrev_Mean,Average overage revenue
vceovr_Mean,Average revenue of voice excess
datovr_Mean,Average revenue of data redundancy
roam_Mean,Average number of roaming calls
change_mou,Percentage change in monthly usage minutes compared to previous quarterly average
change_rev,Percentage change in monthly revenue from previous quarterly average
drop_vce_Mean,Average number of dropped (failed) voice calls
drop_dat_Mean,Average number of dropped (failed) data calls
blck_vce_Mean,Average number of blocked (failed) voice calls
blck_dat_Mean,Average number of blocked (failed) data calls
unan_vce_Mean,Average number of missed voice calls
unan_dat_Mean,Average number of missed data calls
plcd_vce_Mean,Average number of voice call attempts made
plcd_dat_Mean,Average number of data call attempts made
recv_vce_Mean,Average number of received voice calls
recv_sms_Mean,H
comp_vce_Mean,Average number of completed voice calls
comp_dat_Mean,Average number of completed data calls
custcare_Mean,Average number of customer service calls
ccrndmou_Mean,Average rounded minutes of customer service calls
cc_mou_Mean,Average unlimited usage time of customer service calls (see CUSTCARE_MEAN)
inonemin_Mean,Average number of incoming calls less than a minute
threeway_Mean,Average number of three-way calls
mou_cvce_Mean,Average unlimited usage time of completed voice calls
mou_cdat_Mean,Average unlimited usage minutes of completed data calls
mou_rvce_Mean,Average unlimited usage time of received voice calls
owylis_vce_Mean,Average number of outgoing wireless-to-wireless voice calls
mouowylisv_Mean,Average unlimited minutes usage of outgoing wifi-to-wireless voice calls
iwylis_vce_Mean,H
mouiwylisv_Mean,Average unlimited minutes usage from incoming wireless to wireless voice calls
peak_vce_Mean,Average number of incoming and outgoing peak voice calls
peak_dat_Mean,Average number of peak data calls
mou_peav_Mean,Average unlimited minutes usage of loudest calls
mou_pead_Mean,Average unlimited minutes usage of peak data calls
opk_vce_Mean,Average number of off-peak voice calls
opk_dat_Mean,Average number of non-heavy data calls
mou_opkv_Mean,Average unlimited minutes usage of off-peak voice calls
mou_opkd_Mean,Average unlimited minutes usage of off-peak data calls
drop_blk_Mean,Average number of dropped or blocked calls
attempt_Mean,Average number of attempted calls
complete_Mean,Average number of completed searches
callfwdv_Mean,Average number of call forwarding calls
callwait_Mean,Average number of pending calls
churn,Example of loss between 31-60 days after the observation date
months,Total number of months in service
uniqsubs,Number of unique subscribers per household
actvsubs,Number of active subscribers in the household
new_cell,New cell phone user
crclscod,Credit class code
asl_flag,Account spending limit
totcalls,Total calls over the customer's lifetime
totmou,Total minutes of use over its lifetime
totrev,Total revenue
adjrev,Total invoice-adjusted revenue over the customer's lifetime
adjmou,Billing adjusted total minutes of usage over the customer's lifetime
adjqty,Total number of bill-adjusted calls over the customer's lifetime
avgrev,Average monthly income over the customer's lifetime
avgmou,Average monthly usage minutes over the customer's lifetime
avgqty,Average monthly calls over the customer's lifetime
avg3mou,Average monthly usage minutes in the previous three months
avg3qty,Average monthly searches over the previous three months
avg3rev,Average monthly income over the previous three months
avg6mou,Average monthly usage minutes in the previous six months
avg6qty,Average monthly searches over the previous six months
avg6rev,Average monthly income over the previous six months
prizm_social_one,Social group letter only
area,Geographical area
dualband,Dual band
refurb_new,Handset
hnd_price,Current handset price
phones,Number of handsets supplied
models,Number of models released
hnd_webcap,Handset web feature
truck,truck indicator
rv,RV indicator
ownrent,Landlord/tenant status
lor,Residence time
dwlltype,Housing Unit type
marital,marital status
adults,Number of adults in the household
infobase,Knowledge base mapping
income,Estimated revenue
numbcars,Number of known cars
HHstatin,Premium digit status indicator
dwllsize,Housing size
forgntvl,External travel dummy variable
ethnic,Ethnicities
kid0_2,having children aged 0-2
kid3_5,having children aged 3-5
kid6_10,having children aged 6-10
kid11_15,having children aged 11-15
kid16_17,having children aged 16-17
creditcd,having credircard or not
eqpdays,number of days
Customer_ID,unique customer number
